query,label,score
How much cash do we have for immediate bills?,Trade Payables,0
How much cash do we have for immediate bills?,Borrowings,0
Are we moving our stock fast enough?,Inventory Turnover,1
Are we moving our stock fast enough?,Net Profit Margin,0
Are we moving our s2ck fast enough?,Net Profit Margin,0
Are we moving our stock fast enough?,Trade Payables,0
Are we moving our stock fast enough?,Borrowings,0
How quick are we getting paid by customers?,Receivables Turnover,1
How quick are we getting paid by cus2mers?,Receivables Turnover,1
How quick are we getting paid by customers?,Net Profit Margin,0
How quick are we getting paid by cus2mers?,Net Profit Margin,0
How quick are we getting paid by customers?,"Property, Plant and Equipment (PPE)",0
How quick are we getting paid by customers?,Borrowings,0
How quick are we getting paid by cus2mers?,Borrowings,0
Are we keeping up with supplier payments?,Payables Turnover,1
Are we keeping up with supplier payments?,Net Profit Margin,0
Are we keeping up with supplier payments?,EV/EBITDA,0
Are we keeping up with supplier payments?,Deferred Tax Assets,0
Are we using our stuff to make sales efficiently?,Asset Turnover,1
Are we using our stuff to make sales efficiently?,Net Profit Margin,0
Are we using our stuff to make sales efficiently?,Trade Payables,0
Are we using our stuff to make sales efficiently?,Borrowings,0
Are we getting good sales from our short-term cash?,Working Capital Turnover,1
Are we getting good sales from our short-term cash?,Return on Assets (ROA),0
Are we getting good sales from our short-term cash?,"Property, Plant and Equipment (PPE)",0
Are we getting good sales from our short-term cash?,Borrowings,0
Do we owe too much compared to what we own?,Debt-to-Equity Ratio,1
Do we owe 2o much compared 2 what we own?,Debt-to-Equity Ratio,1
Do we owe too much compared to what we own?,Net Profit Margin,0
Do we owe too much compared to what we own?,Trade Payables,0
Do we owe too much compared to what we own?,Borrowings,0
How much of what we have is paid for with loans?,Debt Ratio,1
How much of what we have is paid for with loans?,Net Profit Margin,0
How much of what we have is paid for with loans?,Trade Payables,0
How much of what we got is paid for with loans?,Trade Payables,0
How much of what we have is paid for with loans?,Borrowings,0
Can we cover loan interest without stress?,Interest Coverage Ratio,1
Can we cover loan interest without stress?,Net Profit Margin,0
Can we cover loan interest without stress?,Trade Payables,0
Can we cover loan interest without stress?,Borrowings,0
How much of the company do the owners control?,Equity Ratio,1
How much of the company do the owners control?,Net Profit Margin,0
How much of the company do the owners control?,Trade Payables,0
How much of the company do the owners control?,Borrowings,0
What’s the mix of loans versus our own money?,Capital Gearing Ratio,1
What’s the mix of loans versus our own money?,Net Profit Margin,0
What’s the mix of loans versus our own money?,EV/EBITDA,0
What’s the mix of loans versus our own money?,Deferred Tax Assets,0
How much did each share earn last quarter?,Earnings Per Share (EPS),1
How much did each share earn last quarter?,Return on Assets (ROA),0
How much did each share earn last quarter?,Trade Payables,0
How much did each share earn last quarter?,Borrowings,0
Is our stock price too high for our earnings?,Price-to-Earnings (P/E) Ratio,1
Is our s2ck price 2o high for our earnings?,Price-to-Earnings (P/E) Ratio,1
Is our stock price too high for our earnings?,Net Profit Margin,0
Is our stock price too high for our earnings?,Trade Payables,0
Is our stock price too high for our earnings?,Borrowings,0
Does our stock price match what we’re really worth?,Price-to-Book (P/B) Ratio,1
Does our stock price match what we’re really worth?,Net Profit Margin,0
Does our stock price match what we’re really worth?,Trade Payables,0
Does our s2ck price match what we’re really worth?,Trade Payables,0
Does our stock price match what we’re really worth?,Borrowings,0
Are we giving investors a good return via dividends?,Dividend Yield,1
Are we giving inves2rs a good return via dividends?,Dividend Yield,1
Are we giving investors a good return via dividends?,Net Profit Margin,0
Are we giving investors a good return via dividends?,Trade Payables,0
Are we giving investors a good return via dividends?,Borrowings,0
How much profit are we sharing with shareholders?,Dividend Payout Ratio,1
How much profit are we sharing with shareholders?,Net Profit Margin,0
How much proffit are we sharing with shareholders?,Net Profit Margin,0
How much profit are we sharing with shareholders?,"Property, Plant and Equipment (PPE)",0
How much profit are we sharing with shareholders?,Borrowings,0
"What’s our company worth, including all debts, today?",Enterprise Value (EV),1
"What’s our company worth, including all debts, today?",Net Profit Margin,0
"What’s our company worth, including all debts, 2day?",Net Profit Margin,0
"What’s our company worth, including all debts, today?",Trade Payables,0
"What’s our company worth, including all debts, today?",Borrowings,0
